# theta_degrees,signal_power,noise_variance,fisher_ratio
2.200000000000000000e+01,2.387971944914792477e+00,2.538059144702264902e+00,9.408653655291082663e-01
2.300000000000000000e+01,2.353692181193051347e+00,2.515864277838470997e+00,9.355402045833921543e-01
2.400000000000000000e+01,2.318236953276191947e+00,2.492914096294844839e+00,9.299305406157912790e-01
2.500000000000000000e+01,2.281649457897972244e+00,2.469236561332396995e+00,9.240303232294588831e-01
2.600000000000000000e+01,2.243974271285637201e+00,2.444860520380231605e+00,9.178332475738321117e-01
2.700000000000000000e+01,2.205257294850657246e+00,2.419815671889407493e+00,9.113327599571988680e-01
2.800000000000000000e+01,2.165545699264925350e+00,2.394132529149950450e+00,9.045220650478417168e-01
2.900000000000000000e+01,2.124887866990560426e+00,2.367842383115098315e+00,8.973941349065175377e-01
3.000000000000000000e+01,2.083333333333333925e+00,2.340977264278113701e+00,8.899417201199392169e-01
3.100000000000000000e+01,2.040932726091514660e+00,2.313569903648041493e+00,8.821573633341996956e-01
3.200000000000000000e+01,1.997737703873718518e+00,2.285653692872031684e+00,8.740334155186330056e-01
3.300000000000000000e+01,1.953800893160833052e+00,2.257262643552750525e+00,8.655620553245443327e-01
3.400000000000000000e+01,1.909175824188766857e+00,2.228431345810488295e+00,8.567353119395262340e-01
3.500000000000000000e+01,1.863916865730095296e+00,2.199194926140421558e+00,8.475450918765359276e-01
3.600000000000000000e+01,1.818079158854094990e+00,2.169589004616395922e+00,8.379832101774266073e-01
3.700000000000000000e+01,1.771718549745832982e+00,2.139649651493344074e+00,8.280414265528387441e-01
3.800000000000000000e+01,1.724891521666203964e+00,2.109413343261242080e+00,8.177114870238987310e-01
3.900000000000000000e+01,1.677655126135775943e+00,2.078916918204125164e+00,8.069851716753646542e-01
4.000000000000000000e+01,1.630066913426292619e+00,2.048197531518311187e+00,7.958543491739968889e-01
4.100000000000000000e+01,1.582184862444535600e+00,2.017292610044518764e+00,7.843110387489194979e-01
4.200000000000000000e+01,1.534067310093962799e+00,1.986239806669024777e+00,7.723474803712816472e-01
4.300000000000000000e+01,1.485772880200174173e+00,1.955076954449424420e+00,7.599562139069802047e-01
4.400000000000000000e+01,1.437360412086807315e+00,1.923842020520878382e+00,7.471301680465651796e-01
4.500000000000000000e+01,1.388888888888889062e+00,1.892573059839006033e+00,7.338627598382049255e-01
4.600000000000000000e+01,1.340417365690970364e+00,1.861308168815782205e+00,7.201480056597948654e-01
4.700000000000000000e+01,1.292004897577603728e+00,1.830085438904934581e+00,7.059806444614403764e-01
4.800000000000000000e+01,1.243710467683814658e+00,1.798942910193364941e+00,6.913562740855020428e-01
4.900000000000000000e+01,1.195592915333241413e+00,1.767918525055168999e+00,6.762715014233657840e-01
5.000000000000000000e+01,1.147710864351484839e+00,1.737050081924698564e+00,6.607241070906776370e-01
5.100000000000000000e+01,1.100122651642000848e+00,1.706375189244987212e+00,6.447132251898057831e-01
5.200000000000000000e+01,1.052886256111572161e+00,1.675931219647663450e+00,6.282395385730232817e-01
5.300000000000000000e+01,1.006059228031946029e+00,1.645755264420144304e+00,6.113054898149847816e-01
5.400000000000000000e+01,9.596986189236844655e-01,1.615884088315626244e+00,5.939155078407016841e-01
5.500000000000000000e+01,9.138609120476821612e-01,1.586354084760890348e+00,5.760762498275582288e-01
5.600000000000000000e+01,8.686019535890113774e-01,1.557201231516521789e+00,5.577968575988732081e-01
5.700000000000000000e+01,8.239768846169441829e-01,1.528461046843542892e+00,5.390892272449835376e-01
5.800000000000000000e+01,7.800400739040589393e-01,1.500168546229892819e+00,5.199682901393947176e-01
5.900000000000000000e+01,7.368450516862623534e-01,1.472358199729444372e+00,5.004523028578660160e-01
6.000000000000000000e+01,6.944444444444443088e-01,1.445063889965553017e+00,4.805631427555762114e-01
6.100000000000000000e+01,6.528899107872153662e-01,1.418318870850298952e+00,4.603266051137006598e-01
6.200000000000000000e+01,6.122320785128518850e-01,1.392155727069719351e+00,4.397726968386714286e-01
6.300000000000000000e+01,5.725204829271207663e-01,1.366606334384388610e+00,4.189359206980571293e-01
6.400000000000000000e+01,5.338035064921413664e-01,1.341701820793710809e+00,3.978555430269589688e-01
6.500000000000000000e+01,4.961283198798063787e-01,1.317472528611251192e+00,3.765758367673712748e-01
6.600000000000000000e+01,4.595408245015856763e-01,1.293947977497296398e+00,3.551462906494985972e-01
6.700000000000000000e+01,4.240855965847258324e-01,1.271156828493700264e+00,3.336217743386236667e-01
6.800000000000000000e+01,3.898058328629843694e-01,1.249126849104815529e+00,3.120626485151111740e-01
6.900000000000000000e+01,3.567432979480636979e-01,1.227884879467070256e+00,2.905348082003406662e-01
7.000000000000000000e+01,3.249382734458640121e-01,1.207456799648392920e+00,2.691096472689415431e-01
7.100000000000000000e+01,2.944295088795531590e-01,1.187867498117338272e+00,2.478639320851838135e-01
7.200000000000000000e+01,2.652541744792397127e-01,1.169140841420321042e+00,2.268795726586694816e-01
7.300000000000000000e+01,2.374478158957755713e-01,1.151299645103906588e+00,2.062432807180666905e-01
7.400000000000000000e+01,2.110443108938527268e-01,1.134365645917580601e+00,1.860461057273472274e-01
7.500000000000000000e+01,1.860758280771686313e-01,1.118359475330869213e+00,1.663828421734591945e-01
7.600000000000000000e+01,1.625727876959346396e-01,1.103300634397069935e+00,1.473513044654208570e-01
7.700000000000000000e+01,1.405638245844902379e-01,1.089207469994225574e+00,1.290514694920660288e-01
7.800000000000000000e+01,1.200757532741655587e-01,1.076097152472274443e+00,1.115844912313893461e-01
7.900000000000000000e+01,1.011335353239065232e-01,1.063985654733627717e+00,9.505159667704883575e-02
8.000000000000000000e+01,8.376024890846063553e-02,1.052887732772645801e+00,7.955287757782938951e-02
8.100000000000000000e+01,6.797706070117562338e-02,1.042816907697735829e+00,6.518599784812753595e-02
8.200000000000000000e+01,5.380320008566826656e-02,1.033785449257959232e+00,5.204484172638303152e-02
8.300000000000000000e+01,4.125593572778267493e-02,1.025804360894234435e+00,4.021813252170056835e-02
8.400000000000000000e+01,3.035055453638106637e-02,1.018883366333341645e+00,2.978805576697526186e-02
8.500000000000000000e+01,2.110034303859990856e-02,1.013030897741055147e+00,2.082892346684716081e-02
8.600000000000000000e+01,1.351657119226343413e-02,1.008254085448850867e+00,1.340591760284926166e-02
8.700000000000000000e+01,7.608478655175964812e-03,1.004558749266696305e+00,7.573950912009846416e-03
8.800000000000000000e+01,3.383263528021903613e-03,1.001949391392505495e+00,3.376681055037976213e-03
8.900000000000000000e+01,8.460735845892753456e-04,1.000429190926907186e+00,8.457106132672718773e-04
9.000000000000000000e+01,9.437056727497455680e-33,1.000000000000000000e+00,9.437056727497455680e-33
